id,name,category
1,BILLA s.r.o.,Stravovanie/null
2,Kaufland Slovenská republika v.o.s.,Stravovanie/Potraviny
3,"Lidl Slovenská republika, s.r.o.",Stravovanie/null
4,"SLOVNAFT, a.s.",Auto-moto/null
5,"Štatistické a evidenčné vydavateľstvo tlačív,a.s.ŠEVT a.s. /skrátená verzia obchodného mena/",Zábava a oddych/null
6,Peek & Cloppenburg s.r.o.,Oblečenie a obuv/null
7,"BENU SK 43, s. r. o.",Zdravie a osobná starostlivosť/null
8,Test,
9,"FINAL - CD plus, s.r.o.",Auto-moto/null
10,"ALLTOYS, spol. s r.o.",Zábava a oddych/null
11,"ASIAN SKY, s.r.o.",Stravovanie/null
12,1. DENTÁLNE CENTRUM s. r. o.,Zdravie a osobná starostlivosť/null
13,Dr.MAGNET s.r.o.,Zdravie a osobná starostlivosť/null
14,"3S DENT, s. r. o.",Zdravie a osobná starostlivosť/null
15,Patient Management Services s. r. o.,Zdravie a osobná starostlivosť/null
16,"dm drogerie markt, s.r.o.",Zdravie a osobná starostlivosť/null
17,"Tesco Franchise Stores SR, s. r. o.",Stravovanie/null
18,"DALITRANS, s.r.o.",Auto-moto/null
19,EFLEK s. r. o.,Zdravie a osobná starostlivosť/null
20,EMKAR market s.r.o.,Stravovanie/null
21,"SANSIL, s. r. o.",
22,"COOP Jednota Nové Zámky, spotrebné družstvo",Stravovanie/null
23,"Inditex Slovakia, s. r. o.",Oblečenie a obuv/null
24,"CCC Slovakia, s. r. o.",Oblečenie a obuv/null
25,"Fertucha, s. r. o.",Stravovanie/null
26,"BENU SK 61, s.r.o.",Zdravie a osobná starostlivosť/null
27,"BAGPIPERS, s. r. o.",Oblečenie a obuv/null
28,Leder & Schuh SK spol. s r.o.,Oblečenie a obuv/null
29,ForCamping,
30,ŠmakNinka s. r. o.,Stravovanie/null
31,Pub Carla s.r.o.,Stravovanie/null
32,Pirex Slovakia s. r .o.,Zábava a oddych/null
33,CARDIF s.r.o.,Auto-moto/null
34,Radovan Baránek,Bývanie a energie/null
35,"EUROPHARMA, s. r. o.",Zdravie a osobná starostlivosť/null
36,Slovenské národné divadlo,Zábava a oddych/null
37,Tomáš Haba - Rozličný tovar,Stravovanie/null
38,WANI s.r.o.,Bývanie a energie/null
39,"OMV Slovensko, s.r.o.",Auto-moto/null
40,Tibor Varga TSV Papier,Zábava a oddych/null
41,"TESCO STORES SR, a.s.",Stravovanie/null
42,"ALNIST, s. r. o.",Zdravie a osobná starostlivosť/null
43,"PROTETIKA, a.s.",
44,KOTVIČKA s.r.o.,Stravovanie/null
45,"ALBI, s.r.o.",Zábava a oddych/null
46,Cinema City Slovakia s. r. o.,Zábava a oddych/Zábava
47,HORNBACH - Baumarkt SK spol. s r.o.,Bývanie a energie/null
48,Pepco Slovakia s. r. o.,Oblečenie a obuv/null
49,"STAVCENTRUM A-Z, s.r.o.",Bývanie a energie/null
50,"MEDICÍNSKE ZARIADENIE MLYNSKÁ DOLINA, s. r. o.",Zdravie a osobná starostlivosť/null
51,"Dráčik DIVI, s. r. o.",Zábava a oddych/null
52,"Cipele, s.r.o.",Oblečenie a obuv/null
53,FF1 s. r. o.,Stravovanie/null
54,"Bio - Slnečnica, s. r. o.",Stravovanie/null
55,"BENU Páričkova, s.r.o.",Zdravie a osobná starostlivosť/null
56,Slovenský potravinársky priemysel a.s.,Stravovanie/null
57,Omrvinka s. r. o.,Zdravie a osobná starostlivosť/null
58,"Vesnala 1, s. r. o.",Zdravie a osobná starostlivosť/null
59,"Medusa Restaurants, s.r.o.",
