category,product_id,quantity
drinks/non-alcoholic,1,1.0
home/maintenence,1,1.0
drinks/mineral-water,1,1.0
drinks/non-alcoholic,2,6.0
dairy/joghurts,2,6.0
fruits-veg/vegetable,2,6.0
drinks/non-alcoholic,2,6.0
dairy/joghurts,2,6.0
eating,2,6.0
drinks/non-alcoholic,2,6.0
dairy/joghurts,2,6.0
eating,2,6.0
drinks/non-alcoholic,2,6.0
dairy/joghurts,2,6.0
eating,2,6.0
drinks/non-alcoholic,2,6.0
dairy/joghurts,2,6.0
eating,2,6.0
drinks/non-alcoholic,2,6.0
dairy/joghurts,2,6.0
eating,2,6.0
drinks/non-alcoholic,2,6.0
dairy/joghurts,2,6.0
eating,2,6.0
drinks/non-alcoholic,2,6.0
dairy/joghurts,2,6.0
eating,2,6.0
drinks/non-alcoholic,2,6.0
dairy/joghurts,2,6.0
eating,2,6.0
drinks/non-alcoholic,2,6.0
dairy/joghurts,2,6.0
eating,2,6.0
drinks/non-alcoholic,2,6.0
dairy/joghurts,2,6.0
eating,2,6.0
drinks/non-alcoholic,3,1.0
drinks/mineral-water,3,1.0
home/accessories,3,1.0
drinks/mineral-water,4,1.0
health/vitamins-ointments,4,1.0
dairy/milk,4,1.0
basic/oil-acid-grease,5,1.0
drinks/beer,5,1.0
dairy/butter,5,1.0
basic/sauces,6,1.0
basic/spread,6,1.0
dairy/cream,6,1.0
drinks/beer,7,1.0
meat/meat,7,1.0
home/accessories,7,1.0
basic/sauces,8,1.0
dairy/cream,8,1.0
dairy/joghurts,8,1.0
fruits-veg/fruit,9,1.0
free-time/books-news-magazines,9,1.0
fruits-veg/vegetable,9,1.0
fruits-veg/fruit,10,3.0
drinks/alcohol,10,3.0
dairy/cheese,10,3.0
dairy/cheese,11,3.0
drinks/wine,11,3.0
basic/soy-products,11,3.0
drinks/beer,12,1.0
meat/meat,12,1.0
home/accessories,12,1.0
dairy/butter,13,1.0
fruits-veg/dried-nuts,13,1.0
drinks/alcohol,13,1.0
drinks/beer,14,4.0
meat/meat,14,4.0
home/accessories,14,4.0
dairy/eggs,15,1.0
fashion/clothes,15,1.0
pastry/salty,15,1.0
drinks/beer,16,1.0
meat/meat,16,1.0
home/accessories,16,1.0
home/maintenence,17,1.0
drugstore/hygiene,17,1.0
other,17,1.0
home/maintenence,17,1.0
drugstore/hygiene,17,1.0
other,17,1.0
home/maintenence,17,1.0
drugstore/hygiene,17,1.0
other,17,1.0
home/maintenence,17,1.0
drugstore/hygiene,17,1.0
other,17,1.0
home/maintenence,17,1.0
drugstore/hygiene,17,1.0
other,17,1.0
home/maintenence,17,1.0
drugstore/hygiene,17,1.0
other,17,1.0
home/maintenence,17,1.0
drugstore/hygiene,17,1.0
other,17,1.0
home/maintenence,17,1.0
drugstore/hygiene,17,1.0
other,17,1.0
home/maintenence,17,1.0
drugstore/hygiene,17,1.0
other,17,1.0
home/maintenence,17,1.0
drugstore/hygiene,17,1.0
other,17,1.0
meat/deli,18,1.0
home/accessories,18,1.0
basic/baking,18,1.0
drinks/beer,19,1.0
meat/meat,19,1.0
home/accessories,19,1.0
snacks/salty,20,1.0
snacks/sweet,20,1.0
