,product_id,category_id
0,1,1
1,1,2
2,1,3
3,2,1
4,2,4
5,2,5
8,2,6
36,3,1
37,3,3
38,3,7
39,4,3
40,4,8
41,4,9
42,5,10
43,5,11
44,5,12
45,6,13
46,6,14
47,6,15
48,7,11
49,7,16
50,7,7
51,8,13
52,8,15
53,8,4
54,9,17
55,9,18
56,9,5
57,10,17
58,10,19
59,10,20
60,11,20
61,11,21
62,11,22
63,12,11
64,12,16
65,12,7
66,13,12
67,13,23
68,13,19
69,14,11
70,14,16
71,14,7
72,15,24
73,15,25
74,15,26
75,16,11
76,16,16
77,16,7
78,17,2
79,17,27
80,17,28
108,18,29
109,18,7
110,18,30
111,19,11
112,19,16
113,19,7
114,20,31
115,20,32
116,20,27
117,21,20
118,21,14
119,21,33
147,22,34
148,22,20
149,22,26
150,23,11
151,23,16
152,23,7
153,24,35
154,24,2
155,24,36
156,25,11
157,25,16
158,25,7
159,26,2
160,26,7
161,26,35
189,27,37
190,27,28
191,27,38
192,28,17
193,28,3
194,28,19
195,29,4
196,29,8
197,29,39
198,30,11
199,30,16
200,30,7
201,31,12
202,31,40
203,31,10
204,32,28
205,32,16
206,32,2
207,33,8
208,33,32
209,33,39
210,34,17
211,34,18
212,34,33
216,35,41
217,35,26
218,35,7
219,36,42
220,36,33
221,36,38
222,37,30
223,37,40
224,37,8
236,37,43
237,38,39
238,38,36
239,38,11
240,39,44
241,39,38
242,39,45
252,40,39
253,40,36
254,40,11
255,41,2
256,41,46
257,41,45
267,42,39
268,42,36
269,42,11
270,43,43
271,43,2
272,43,19
282,44,39
283,44,36
284,44,11
285,45,47
286,45,2
287,45,45
297,46,39
298,46,36
299,46,11
300,47,48
301,47,49
302,47,1
312,48,50
313,48,33
314,48,14
324,49,39
325,49,36
326,49,11
327,50,9
328,50,4
329,50,11
339,51,51
340,51,38
341,51,20
351,52,39
352,52,52
353,52,53
354,53,14
355,53,32
356,53,33
366,54,39
367,54,36
368,54,11
369,55,24
370,55,7
371,55,26
381,56,39
382,56,36
383,56,11
384,57,4
385,57,8
386,57,30
399,58,15
400,58,4
401,58,30
411,59,39
412,59,36
413,59,11
414,60,12
415,60,26
416,60,10
426,61,20
427,61,19
428,61,21
438,62,39
439,62,36
440,62,11
441,63,16
442,63,54
443,63,25
453,64,32
454,64,2
455,64,39
465,65,39
466,65,52
467,65,53
468,66,20
469,66,30
470,66,23
480,67,39
481,67,36
482,67,11
483,68,3
484,68,1
485,68,2
498,69,3
499,69,1
500,69,9
528,70,4
529,70,1
530,70,6
542,70,30
543,71,1
544,71,2
545,71,30
555,72,48
