quantity,product_id,fs_receipt_id
1.0,1,1
6.0,2,1
1.0,3,1
1.0,4,1
1.0,5,1
1.0,6,1
1.0,8,1
1.0,9,1
1.0,10,1
3.0,11,1
3.0,11,1
1.0,13,1
1.0,15,1
4.0,17,1
1.0,18,1
1.0,20,1
1.0,21,1
1.0,22,1
1.0,24,1
1.0,26,1
1.0,27,1
1.102,28,1
1.0,29,1
1.0,31,1
1.0,33,1
1.0,34,1
20.0,35,1
0.252,36,1
1.0,37,2
1.0,39,2
2.0,41,2
1.0,43,2
2.0,45,2
1.0,47,2
1.0,48,2
1.0,50,2
1.0,51,2
1.0,53,2
1.0,55,2
5.0,57,2
2.0,58,2
1.0,60,2
1.0,61,2
0.967,63,2
1.0,64,2
1.0,66,2
2.0,68,2
2.0,69,2
3.0,70,2
1.0,71,2
1.0,72,2
1.0,73,2
1.0,74,2
1.104,75,2
1.0,77,2
1.0,78,2
0.164,79,2
0.165,80,2
1.0,82,2
1.0,83,2
2.0,84,2
2.0,85,2
1.0,86,2
1.0,87,2
1.0,88,2
2.0,89,2
1.0,90,2
1.0,91,2
1.0,92,2
2.0,93,2
5.0,94,2
1.0,96,2
1.0,97,2
1.0,98,2
1.0,99,2
1.0,100,2
1.0,101,2
1.0,102,2
1.0,103,3
5.0,2,3
2.039,104,3
6.0,17,3
1.0,106,3
1.0,108,3
1.0,110,3
1.0,112,3
1.0,21,3
1.0,114,3
1.0,115,3
1.0,116,3
2.0,118,3
1.0,26,3
1.0,119,3
1.0,120,3
30.0,122,3
2.0,123,3
4.0,124,3
1.0,125,3
1.0,126,3
0.248,127,3
1.0,128,4
2.0,129,4
1.0,130,4
2.0,131,4
1.0,133,4
1.0,135,4
1.0,136,4
1.0,138,4
30.0,122,4
1.0,139,4
0.176,140,4
1.0,141,4
1.0,142,4
4.0,124,4
5.0,2,4
1.0,143,4
1.0,144,4
1.0,34,4
1.0,118,4
1.0,145,4
0.53,146,4
3.0,147,5
2.0,149,5
2.0,151,5
6.0,153,5
1.0,154,5
1.0,155,5
1.0,156,5
2.0,157,5
1.0,158,5
1.0,159,5
1.0,160,5
2.0,161,5
1.0,162,5
1.0,163,5
1.0,164,5
1.0,165,5
2.0,166,5
1.0,167,5
2.0,168,5
1.0,169,5
1.0,170,5
2.0,171,5
2.0,172,5
1.0,173,5
2.0,174,5
1.0,175,5
1.0,176,5
1.0,177,5
1.0,178,5
1.0,179,5
1.0,180,5
1.0,181,5
1.092,182,5
1.039,183,5
1.084,184,5
1.0,185,5
1.0,186,5
1.0,187,5
1.0,188,5
1.0,189,5
2.0,190,5
1.0,191,5
1.0,192,5
1.0,193,5
1.0,194,5
1.0,195,5
1.0,196,5
0.838,197,5
1.0,198,5
1.0,199,5
0.912,200,5
0.566,201,5
1.0,202,5
1.466,203,5
1.0,204,5
1.0,205,5
2.0,206,5
1.0,207,5
1.0,208,5
3.0,209,5
2.0,210,5
1.0,211,5
4.0,212,5
1.0,213,5
1.0,214,5
1.0,215,5
1.0,216,5
1.0,217,5
1.0,218,5
1.0,219,5
1.0,220,5
1.0,221,5
34.52,222,6
2.0,223,7
4.0,225,7
3.0,227,7
0.738,228,7
1.0,229,7
1.0,230,7
2.0,231,7
1.0,232,7
1.0,233,7
1.0,234,7
1.0,235,7
2.0,236,7
1.0,237,7
0.77,238,7
1.0,239,7
0.838,240,7
1.0,241,7
1.0,242,7
1.0,243,7
1.0,244,7
1.0,245,7
2.0,246,7
1.0,247,7
1.0,248,7
1.0,249,7
1.222,250,7
1.0,251,7
1.0,252,7
4.0,253,7
1.0,254,7
2.0,255,7
2.0,256,7
1.0,257,7
3.0,258,8
1.0,259,8
1.0,260,8
1.062,261,8
1.268,262,8
1.0,263,8
0.172,264,8
2.0,265,8
5.0,267,8
2.0,268,8
2.0,270,8
1.0,271,8
2.0,273,8
5.0,274,8
1.0,275,8
5.0,276,8
1.0,277,8
1.0,278,8
1.0,280,8
3.0,281,8
1.0,282,8
1.0,283,8
2.0,284,8
1.0,285,8
1.0,286,8
2.0,287,8
2.0,288,8
1.0,289,8
2.0,290,8
2.0,291,8
1.0,292,8
1.0,293,8
1.0,294,8
1.0,295,8
2.0,296,8
2.0,297,8
1.0,298,8
1.0,299,8
1.0,301,8
1.0,302,8
1.0,103,9
5.0,2,9
2.039,104,9
6.0,17,9
1.0,106,9
1.0,108,9
1.0,110,9
1.0,112,9
1.0,21,9
1.0,114,9
1.0,115,9
1.0,116,9
2.0,118,9
1.0,26,9
1.0,119,9
1.0,120,9
30.0,122,9
2.0,123,9
4.0,124,9
1.0,125,9
1.0,126,9
0.248,127,9
1.0,103,10
5.0,2,10
2.039,104,10
6.0,17,10
1.0,106,10
1.0,108,10
1.0,110,10
1.0,112,10
1.0,21,10
1.0,114,10
1.0,115,10
1.0,116,10
2.0,118,10
1.0,26,10
1.0,119,10
1.0,120,10
30.0,122,10
2.0,123,10
4.0,124,10
1.0,125,10
1.0,126,10
0.248,127,10
1.0,103,13
5.0,2,13
2.039,104,13
6.0,17,13
1.0,106,13
1.0,108,13
1.0,110,13
1.0,112,13
1.0,21,13
1.0,114,13
1.0,115,13
1.0,116,13
2.0,118,13
1.0,26,13
1.0,119,13
1.0,120,13
30.0,122,13
2.0,123,13
4.0,124,13
1.0,125,13
1.0,126,13
0.248,127,13
1.0,103,14
5.0,2,14
2.039,104,14
6.0,17,14
1.0,106,14
1.0,108,14
1.0,110,14
1.0,112,14
1.0,21,14
1.0,114,14
1.0,115,14
1.0,116,14
2.0,118,14
1.0,26,14
1.0,119,14
1.0,120,14
30.0,122,14
2.0,123,14
4.0,124,14
1.0,125,14
1.0,126,14
0.248,127,14
1.0,103,16
5.0,2,16
2.039,104,16
6.0,17,16
1.0,106,16
1.0,108,16
1.0,110,16
1.0,112,16
1.0,21,16
1.0,114,16
1.0,115,16
1.0,116,16
2.0,118,16
1.0,26,16
1.0,119,16
1.0,120,16
30.0,122,16
2.0,123,16
4.0,124,16
1.0,125,16
1.0,126,16
0.248,127,16
1.0,103,17
5.0,2,17
2.039,104,17
6.0,17,17
1.0,106,17
1.0,108,17
1.0,110,17
1.0,112,17
1.0,21,17
1.0,114,17
1.0,115,17
1.0,116,17
2.0,118,17
1.0,26,17
1.0,119,17
1.0,120,17
30.0,122,17
2.0,123,17
4.0,124,17
1.0,125,17
1.0,126,17
0.248,127,17
1.0,103,18
5.0,2,18
2.039,104,18
6.0,17,18
1.0,106,18
1.0,108,18
1.0,110,18
1.0,112,18
1.0,21,18
1.0,114,18
1.0,115,18
1.0,116,18
2.0,118,18
1.0,26,18
1.0,119,18
1.0,120,18
30.0,122,18
2.0,123,18
4.0,124,18
1.0,125,18
1.0,126,18
0.248,127,18
1.0,303,24
1.0,304,24
1.0,305,25
10.0,306,25
1.0,307,25
1.0,308,25
1.0,37,25
1.0,310,25
1.0,311,25
1.0,312,25
1.0,313,25
1.0,314,25
2.0,315,25
2.0,316,25
4.0,57,25
1.0,317,25
1.0,318,25
1.0,319,25
1.0,320,25
1.0,321,25
1.0,322,25
1.0,323,25
0.87,324,25
0.384,325,25
1.0,68,25
2.0,70,25
2.0,326,25
1.296,327,25
1.0,74,25
1.0,328,25
1.0,329,25
1.0,330,25
0.844,331,25
0.901,332,25
0.162,333,25
0.158,334,25
1.0,335,25
2.0,337,25
2.0,338,25
1.0,339,25
1.0,83,25
2.0,340,25
1.0,341,25
1.0,342,25
1.0,343,25
1.0,345,25
1.0,346,25
5.0,94,25
1.0,347,25
1.0,348,25
1.0,349,25
1.0,350,25
2.0,351,25
2.0,352,25
1.0,353,25
1.0,354,25
1.0,102,25
1.0,355,25
1.0,356,26
10.0,357,27
10.0,357,28
10.0,357,30
1.0,358,31
1.0,360,31
1.0,361,31
3.0,362,31
1.0,363,31
1.0,364,31
1.0,365,31
1.0,366,31
1.0,367,31
1.72,368,31
1.0,369,31
4.0,370,31
0.732,371,31
1.0,372,31
1.0,373,31
5.0,374,32
2.0,376,32
4.0,377,32
1.0,378,32
0.8,379,32
1.0,380,32
1.0,381,32
2.0,382,32
0.9,383,32
1.0,384,32
1.0,385,32
0.232,386,32
0.356,387,32
1.0,388,32
1.0,389,32
5.0,390,32
1.0,391,32
1.0,392,32
1.0,393,32
1.0,394,32
1.0,395,32
1.0,396,32
2.0,397,32
1.02,398,32
1.0,450,34
0.7,451,34
1.0,452,34
1.0,453,34
8.0,454,34
1.0,455,34
1.0,456,35
1.0,457,35
1.0,458,35
1.0,459,36
2.0,460,37
1.0,461,37
1.0,462,37
1.0,463,38
1.0,464,38
1.0,465,38
1.0,466,38
1.0,467,38
1.0,468,38
1.0,469,38
1.0,470,38
1.0,471,38
1.0,472,39
1.0,473,40
1.0,474,40
1.0,475,40
1.0,476,41
1.0,399,45
1.0,69,45
1.0,400,45
1.0,401,45
1.0,402,45
1.0,404,45
1.0,405,45
1.0,407,45
1.0,408,45
1.0,409,45
1.0,410,45
1.0,411,45
1.0,412,45
1.0,413,45
1.0,414,45
1.506,415,45
1.0,416,45
1.0,418,45
1.0,419,45
2.0,420,45
1.0,422,45
1.0,423,45
1.0,424,45
1.0,425,45
1.0,426,45
1.0,427,45
1.0,428,45
4.0,429,45
1.0,430,45
1.0,431,45
0.152,432,45
1.0,433,45
1.0,434,45
1.0,435,45
2.0,436,45
1.0,437,45
1.0,438,45
1.0,439,45
1.0,440,45
10.0,441,45
2.0,442,45
0.994,444,45
1.0,445,45
1.0,97,45
1.0,446,45
1.294,447,45
4.0,448,45
1.0,399,46
1.0,69,46
1.0,400,46
1.0,401,46
1.0,402,46
1.0,404,46
1.0,405,46
1.0,407,46
1.0,408,46
1.0,409,46
1.0,410,46
1.0,411,46
1.0,412,46
1.0,413,46
1.0,414,46
1.506,415,46
1.0,416,46
1.0,418,46
1.0,419,46
2.0,420,46
1.0,422,46
1.0,423,46
1.0,424,46
1.0,425,46
1.0,426,46
1.0,427,46
1.0,428,46
4.0,429,46
1.0,430,46
1.0,431,46
0.152,432,46
1.0,433,46
1.0,434,46
1.0,435,46
2.0,436,46
1.0,437,46
1.0,438,46
1.0,439,46
