id,name,item_type,price,vat_rate,organization_id,org_unit_id,created_date,last_modified_date,created_by,last_modified_by,is_overridden,category_id
1,"NESTEA CITRÓN 1,5l  ",K,0.99,20.0,1,1,2023-09-28 22:57:45,2023-09-28 22:57:46,1,1,b'\x00',1
2,ZÁLOHA PET          ,K,0.15,0.0,1,1,2023-09-28 22:57:45,2023-11-22 12:15:34,1,1,b'\x00',1
3,"MAG.GREP 1,5l       ",K,0.65,20.0,1,1,2023-09-28 22:57:45,2023-09-28 22:57:46,1,1,b'\x00',1
4,"MAG.PER.1,5l        ",K,0.59,20.0,1,1,2023-09-28 22:57:45,2023-09-28 22:57:46,1,1,b'\x00',3
5,Raciol rastl.1l     ,K,2.59,20.0,1,1,2023-09-28 22:57:45,2023-09-28 22:57:46,1,1,b'\x00',10
6,Šmak majon.400ml    ,K,1.59,20.0,1,1,2023-09-28 22:57:45,2023-09-28 22:57:46,1,1,b'\x00',13
7, ZĽAVA AKCIA                            ,Z,-0.4,20.0,1,1,2023-09-28 22:57:45,2023-09-28 22:57:48,1,system,b'\x00',11
8,Šmak tat.om.400ml   ,K,1.59,20.0,1,1,2023-09-28 22:57:45,2023-09-28 22:57:46,1,1,b'\x00',13
9,Jablko cvikla200ml  ,K,0.99,10.0,1,1,2023-09-28 22:57:45,2023-09-28 22:57:46,1,1,b'\x00',17
10,Jabl.kivi a ananás  ,K,1.09,10.0,1,1,2023-09-28 22:57:45,2023-09-28 22:57:46,1,1,b'\x00',17
11,syr Hermelín 120g   ,K,1.6900000000000002,20.0,1,1,2023-09-28 22:57:45,2023-09-28 22:57:46,1,1,b'\x00',20
12, ZĽAVA AKCIA                            ,Z,-0.5,20.0,1,1,2023-09-28 22:57:45,2023-09-28 22:57:48,1,system,b'\x00',11
13,margar.Plmarin 250  ,K,0.95,20.0,1,1,2023-09-28 22:57:45,2023-09-28 22:57:46,1,1,b'\x00',12
14, ZĽAVA AKCIA                            ,Z,-0.26,20.0,1,1,2023-09-28 22:57:45,2023-09-28 22:57:48,1,system,b'\x00',11
15,Juniorky 10/S       ,K,1.79,20.0,1,1,2023-09-28 22:57:45,2023-09-28 22:57:46,1,1,b'\x00',24
16, ZĽAVA AKCIA                            ,Z,-0.7,20.0,1,1,2023-09-28 22:57:45,2023-09-28 22:57:48,1,system,b'\x00',11
17,TP TENTO ECON.2-VR  ,K,0.85,20.0,1,1,2023-09-28 22:57:45,2023-11-22 12:15:34,1,1,b'\x00',2
18,LOS.PASTA 100g      ,K,3.39,20.0,1,1,2023-09-28 22:57:45,2023-11-25 21:23:14,1,1,b'\x01',20
