id,name,price,vat_rate,category,organization_id
1,"NESTEA CITRÓN 1,5l  ",0.99,20.0,drinks/non-alcoholic,1
2,ZÁLOHA PET          ,0.15,0.0,drinks/non-alcoholic,1
3,"MAG.GREP 1,5l       ",0.65,20.0,drinks/non-alcoholic,1
4,"MAG.PER.1,5l        ",0.59,20.0,drinks/mineral-water,1
5,Raciol rastl.1l     ,2.59,20.0,basic/oil-acid-grease,1
6,Šmak majon.400ml    ,1.59,20.0,basic/sauces,1
7, ZĽAVA AKCIA                            ,-0.4,20.0,drinks/beer,1
8,Šmak tat.om.400ml   ,1.59,20.0,basic/sauces,1
9,Jablko cvikla200ml  ,0.99,10.0,fruits-veg/fruit,1
10,Jabl.kivi a ananás  ,1.09,10.0,fruits-veg/fruit,1
11,syr Hermelín 120g   ,1.6900000000000002,20.0,dairy/cheese,1
12, ZĽAVA AKCIA                            ,-0.5,20.0,drinks/beer,1
13,margar.Plmarin 250  ,0.95,20.0,dairy/butter,1
14, ZĽAVA AKCIA                            ,-0.26,20.0,drinks/beer,1
15,Juniorky 10/S       ,1.79,20.0,dairy/eggs,1
16, ZĽAVA AKCIA                            ,-0.7,20.0,drinks/beer,1
17,TP TENTO ECON.2-VR  ,0.85,20.0,home/maintenence,1
18,LOS.PASTA 100g      ,3.39,20.0,dairy/cheese,1
19, ZĽAVA AKCIA                            ,-0.9,20.0,drinks/beer,1
20,Billa tyč. sol.150  ,1.09,20.0,snacks/salty,1
21,čer.syr Lučina 100  ,1.55,20.0,dairy/cheese,1
22,COTTA.CHEES.180g    ,1.19,20.0,dairy/cheese,1
23, ZĽAVA AKCIA                            ,-0.3,20.0,drinks/beer,1
24,d.act.or/ov.120g    ,0.69,10.0,health/medical-supplies,1
25, ZĽAVA AKCIA                            ,-0.19,10.0,drinks/beer,1
26,d.act.mix 120g      ,0.69,10.0,dairy/milk,1
27,t.exk.s losos.145g  ,1.39,20.0,meat/fish,1
28,Banány voľné        ,1.188747731397459,20.0,fruits-veg/fruit,1
29,Termix kakao 130g   ,0.59,20.0,dairy/joghurts,1
30, ZĽAVA AKCIA                            ,-0.14,20.0,drinks/beer,1
31,maslo LM 250g       ,3.59,10.0,dairy/butter,1
32, Zľava                                  ,-1.7,10.0,other,1
33,PERN.CUK.POL.165g   ,1.69,20.0,health/vitamins-ointments,1
34,Jablko 200ml        ,0.99,10.0,fruits-veg/fruit,1
35,ROŽOK 50g           ,0.11,10.0,pastry/basic,1
36,Klob.úd.bukovom dr  ,11.507936507936508,20.0,meat/smoked,1
37,K.Monorola 100m 1ks ,2.99,20.0,basic/baking,2
38,Zľava s kupónom     ,-0.12,20.0,pastry/sweet,2
39,Frisk. Funtas 175g  ,2.19,20.0,pets,2
40,Zľava s kupónom     ,-0.09,20.0,pastry/sweet,2
41,K.utierky 100ks     ,0.79,20.0,home/maintenence,2
42,Zľava s kupónom     ,-0.06,20.0,pastry/sweet,2
43,Wellaflex 250ml     ,1.99,20.0,basic/pasta,2
44,Zľava s kupónom     ,-0.2,20.0,pastry/sweet,2
45,Bupi mydlo 100g     ,0.59,20.0,baby/supplies-hygiene,2
46,Zľava s kupónom     ,-0.02,20.0,pastry/sweet,2
47,Kubík pyré 100g     ,0.39,20.0,drinks/juice,2
48,Sunar suš.175g      ,1.79,20.0,baby/food,2
49,Zľava s kupónom     ,-0.07,20.0,pastry/sweet,2
50,"ZLT Mlieko 1,5% 1l  ",0.52,10.0,dairy/milk,2
51,Bán.minikol.úd. 500g,3.29,20.0,basic/canned-fruits-vegetable,2
52,Kaufland Card       ,-0.1,20.0,pastry/sweet,2
53,Mana Nátierka 200g  ,1.29,20.0,basic/spread,2
54,Zľava s kupónom     ,-0.05,20.0,pastry/sweet,2
55,Gazdov.vajcia M 10ks,1.09,20.0,dairy/eggs,2
56,Zľava s kupónom     ,-0.04,20.0,pastry/sweet,2
57,ZLT Termix čok.90g  ,0.37,20.0,dairy/joghurts,2
58,RajoKys.sm.14%250g  ,0.95,10.0,dairy/cream,2
59,Zľava s kupónom     ,-0.08,10.0,pastry/sweet,2
60,Tatr. maslo 250g    ,1.75,10.0,dairy/butter,2
61,SýrAKřupFAM.4x35g   ,1.99,20.0,dairy/cheese,2
62,Zľava s kupónom     ,-0.5,20.0,pastry/sweet,2
63,KPur.Kur.dol.stehná ,2.2854188210961737,10.0,meat/meat,2
64,Vieden.škvarky 200g ,1.99,20.0,snacks/sweet,2
65,Kaufland Card       ,-0.4,20.0,pastry/sweet,2
66,K.Metla             ,7.49,20.0,dairy/cheese,2
67,Zľava s kupónom     ,-0.31,20.0,pastry/sweet,2
68,"LuckaNeperlivá1,5l  ",0.69,20.0,drinks/mineral-water,2
69,"MagnesiaMin.Per.1,5l",0.79,20.0,drinks/mineral-water,2
70,Záloha PET#         ,0.15,0.0,drinks/non-alcoholic,2
71,Pepsi Lime 2 l PET  ,1.29,20.0,drinks/non-alcoholic,2
72,Pfanner pomaranč 1 l,1.19,10.0,drinks/juice,2
73,Zemiaky žlté 2kg    ,1.89,10.0,fruits-veg/vegetable,2
74,"Cibuľa žltá 1,5kg   ",0.99,10.0,fruits-veg/vegetable,2
75,Jablko Gala         ,0.7880434782608695,10.0,fruits-veg/fruit,2
76,Zľava s kupónom     ,-0.03,10.0,pastry/sweet,2
77,Kytica tulipánov    ,2.29,20.0,home/plants-garden,2
78,Šalát Polníček 140g ,1.09,10.0,fruits-veg/vegetable,2
79,Vysočina saláma     ,6.890243902439024,20.0,meat/smoked,2
80,Slovenská šunka     ,10.909090909090908,20.0,meat/meat-products,2
81,Zľava s kupónom     ,-0.18,20.0,pastry/sweet,2
82,Nimm2 Soft  90g     ,0.75,20.0,snacks/sweet,2
83,M&M čokola.draže90g ,1.29,20.0,home/accessories,2
84,Zlaté venč. kak.150g,0.99,20.0,pastry/sweet,2
85,Manner Neapol. 75g  ,0.59,20.0,dairy/cheese,2
86,Kinder surp. die.20g,1.19,20.0,drinks/beer,2
87,Kokos.kmeň100g      ,0.75,20.0,fruits-veg/dried-nuts,2
88,Princezky 80 g      ,0.44,20.0,snacks/sweet,2
89,Horalky 50g         ,0.49,20.0,snacks/sweet,2
90,"K.Rep.olej,1 l      ",1.89,20.0,basic/oil-acid-grease,2
91,tomata pretlak 190g ,0.62,20.0,basic/canned-fruits-vegetable,2
92,Puding hor.čok.40g  ,0.59,20.0,snacks/sweet,2
93,Puding smot.van40g  ,0.59,20.0,dairy/joghurts,2
94,Eva Sard.olej 115g  ,1.19,20.0,basic/canned-fish,2
95,Zľava s kupónom     ,-0.25,20.0,pastry/sweet,2
96,Erce niťovky lis200g,0.49,20.0,basic/pasta,2
97,K. Hrach 500g       ,0.59,20.0,home/office,2
98,Šošovica 500g       ,1.59,20.0,basic/wheat-legumes,2
99,ZLT Slov.šunka 100g ,0.85,20.0,meat/meat-products,2
100,"RioFreshJabl0,2l    ",1.19,10.0,drinks/juice,2
101,K.Lístkové ces. 275g,0.79,20.0,basic/baking,2
102,Treska v maj.Ex140g ,1.09,20.0,meat/deli,2
103,"FUZ.BROS.1,5l       ",1.59,20.0,pastry/sweet,1
104,KAČICA PITVANÁ      ,3.1878371750858263,10.0,meat/meat,1
105, ZĽAVA PRE ČLENA                        ,-0.5,20.0,home/accessories,1
106,Manner sna. m.300g  ,3.39,20.0,snacks/sweet,1
107, Zľava                  25%             ,-0.85,20.0,other,1
108,TUNIAK.ŠALÁT MEX.   ,3.39,20.0,basic/canned-fish,1
109, Zľava                                  ,-1.4,20.0,other,1
110,Mas.Suš.Billa 250g  ,2.29,20.0,home/maintenence,1
111, Zľava                  25%             ,-0.57,20.0,other,1
112,Man.R.Srd.ob.300g   ,3.39,20.0,home/accessories,1
113, ZĽAVA AKCIA                            ,-0.46,20.0,drinks/beer,1
114,RUSTIK.CHLIEB 490g  ,1.69,20.0,pastry/basic,1
115,BP CAMEMBERT.250g   ,2.19,20.0,dairy/cheese,1
116,Fuet 170g           ,1.99,20.0,health/vitamins-ointments,1
117, ZĽAVA PRE ČLENA                        ,-0.4,20.0,home/accessories,1
118,SVAČINKA AL 48G     ,0.49,20.0,basic/spread,1
119,jog.sp.ed.ch.150g   ,0.65,10.0,dairy/joghurts,1
120,BASK RYŽA GUĽ.1kg   ,1.79,20.0,basic/sugar-flour-rice,1
121, Zľava                                  ,-0.5,20.0,other,1
122,ROŽOK 50g           ,0.1,10.0,pastry/basic,1
123,ZÁK.PUD.A RÍB.85g   ,0.59,20.0,home/accessories,1
124,Smoothie 250ml      ,1.09,10.0,drinks/juice,1
125,BROSKYNE 425ml      ,1.69,20.0,fruits-veg/fruit,1
126,Raj.čer.250g        ,0.99,10.0,fruits-veg/vegetable,1
127,Pór voľný           ,2.5,10.0,fruits-veg/vegetable,1
128,ris.diav.350g       ,2.99,20.0,drinks/alcohol,1
129,TP TENTO ECON.2-VR  ,0.79,20.0,home/maintenence,1
130,DŽÚS HAP.DAY POM D  ,1.09,10.0,drinks/juice,1
131,maslo Tami 250g     ,2.79,10.0,dairy/butter,1
132, Zľava                                  ,-1.0,10.0,other,1
133,Karička Eidam 100g  ,1.55,20.0,dairy/cheese,1
134, ZĽAVA AKCIA                            ,-0.66,20.0,drinks/beer,1
135,čer.syr Lučina 100  ,1.39,20.0,dairy/cheese,1
136,mini babybel 100g   ,2.05,20.0,dairy/cheese,1
137, ZĽAVA PRE ČLENA                        ,-0.56,20.0,home/accessories,1
138,TYČ.SLANÉ DRU 170   ,1.45,20.0,snacks/salty,1
139,Billa extra jemná   ,1.29,20.0,dairy/cream,1
140,Grana Padano        ,16.875000000000004,20.0,dairy/cheese,1
141,Sl.dus.šunka 100g   ,1.35,20.0,meat/meat-products,1
142,Fuet 170g           ,1.29,20.0,health/vitamins-ointments,1
143,CROIS.DUO ČOKO 82g  ,0.79,20.0,pastry/sweet,1
144,GAZDOV.CHLIEB 405g  ,1.25,20.0,pastry/basic,1
145,COOKIES ČUČO.150g   ,1.79,20.0,snacks/sweet,1
146,Mandarínky          ,1.981132075471698,20.0,fruits-veg/fruit,1
147,Uhorky šalátové     ,0.88,10.0,fruits-veg/vegetable,3
148,Zľava Lidl Plus     ,-0.88,10.0,drugstore/beauty,3
149,Galbani Mozzarella  ,0.99,20.0,dairy/cheese,3
150,ZLAVA               ,-0.5,20.0,other,3
151,Cottage natur       ,1.19,20.0,dairy/cheese,3
152,Zľava Lidl Plus     ,-0.48,20.0,drugstore/beauty,3
153,Vres dvojfarebný    ,2.49,20.0,drinks/wine,3
154,400238 De ponožky   ,1.99,20.0,snacks/sweet,3
155,379211 Jesen. deko  ,2.49,20.0,dairy/joghurts,3
156,Colour Catcher      ,1.99,20.0,home/accessories,3
157,Vrec.na odp z. 60L  ,0.69,20.0,home/maintenence,3
158,DRU tyčinky         ,1.49,20.0,snacks/salty,3
159,419177 Dá tričko    ,6.99,20.0,meat/smoked,3
160,Pap. utierky        ,3.99,20.0,baby/supplies-hygiene,3
161,Vatové tyčinky      ,1.09,20.0,drugstore/hygiene,3
