id,receipt_id,issue_date,organization_id,user_id,tax_base_basic,tax_base_reduced,total_price,free_tax_amount,vat_amount_basic,vat_amount_reduced,vat_rate_basic,vat_rate_reduced
1,O-3767E66C4F9D4D9DA7E66C4F9DFD9D0E,02.04.2022 15:09:57,1,7,25.42,7.42,39.56,0.9,5.08,0.74,20,10
2,O-9F29E0078F3F4F2CA9E0078F3F0F2C94,05.03.2022 13:56:16,2,20,50.59,11.87,71.82,-1.95,10.12,1.19,20,10
3,O-C75BD43CDF704A779BD43CDF70EA7762,05.03.2022 14:36:15,1,15,21.65,15.11,43.35,0.75,4.33,1.51,20,10
4,O-13DF179BEA9443D89F179BEA9453D8A8,26.02.2022 14:44:56,1,11,17.92,11.83,35.27,0.75,3.58,1.19,20,10
5,O-2CBA56EADDB34873BA56EADDB3787329,29.09.2023 11:32:10,3,8,115.03,27.56,168.36,0,23.01,2.76,20,10
6,O-DC66B6D14342467FA6B6D14342467F87,26.09.2023 11:00:48,4,7,49.42,0,59.31,0,9.89,0,20,10
7,O-5996188F2E3C4FB896188F2E3CDFB8A0,08.10.2023 18:28:32,3,19,38.94,15.36,63.63,0,7.79,1.54,20,10
8,O-C8C23097642942BA8230976429F2BA25,15.10.2023 17:53:30,2,11,65.54,14.8,91.18,-3.75,13.11,1.48,20,10
9,O-C75BD43CDF704A779BD43CDF70EA7762,05.03.2022 14:36:15,1,11,21.65,15.11,43.35,0.75,4.33,1.51,20,10
10,O-C75BD43CDF704A779BD43CDF70EA7762,05.03.2022 14:36:15,1,4,21.65,15.11,43.35,0.75,4.33,1.51,20,10
13,O-C75BD43CDF704A779BD43CDF70EA7762,05.03.2022 14:36:15,1,8,21.65,15.11,43.35,0.75,4.33,1.51,20,10
14,O-C75BD43CDF704A779BD43CDF70EA7762,05.03.2022 14:36:15,1,3,21.65,15.11,43.35,0.75,4.33,1.51,20,10
16,O-C75BD43CDF704A779BD43CDF70EA7762,05.03.2022 14:36:15,1,2,21.65,15.11,43.35,0.75,4.33,1.51,20,10
17,O-C75BD43CDF704A779BD43CDF70EA7762,05.03.2022 14:36:15,1,12,21.65,15.11,43.35,0.75,4.33,1.51,20,10
18,O-C75BD43CDF704A779BD43CDF70EA7762,05.03.2022 14:36:15,1,6,21.65,15.11,43.35,0.75,4.33,1.51,20,10
24,O-6188D68FF20E49A388D68FF20EF9A3EF,23.11.2023 12:49:38,5,2,39,0,46.8,0,7.8,0,20,10
25,O-1F789AF9AAD44584B89AF9AAD4C58447,19.02.2022 14:14:18,2,1,65.34,13.12,93.14,0.3,13.07,1.31,20,10
26,O-6D53E56163F34C9C93E56163F37C9CD9,26.11.2023 15:41:20,6,12,33.32,0,39.99,0,6.67,0,20,10
27,O-78F6D09FC5734B84B6D09FC5732B84D7,19.02.2022 14:18:31,7,12,0,10,11,0,0,1,20,10
28,O-78F6D09FC5734B84B6D09FC5732B84D7,19.02.2022 14:18:31,7,17,0,10,11,0,0,1,20,10
30,O-78F6D09FC5734B84B6D09FC5732B84D7,19.02.2022 14:18:31,7,10,0,10,11,0,0,1,20,10
31,O-276D9399A12E49F9AD9399A12EA9F944,14.11.2023 10:38:13,3,16,13.81,7.22,24.51,0,2.76,0.72,20,10
32,O-FF91291B0D76491491291B0D76C914AD,28.11.2023 14:15:02,3,15,27.03,17.14,51.29,0,5.41,1.71,20,10
34,O-DA7A518FCD874070BA518FCD87907050,29.11.2023 10:48:28,9,15,63.67,0,76.4,0,12.73,0,20,10
35,O-70FC32855BB44E62BC32855BB4EE62E6,22.11.2023 14:45:11,10,19,23.72,,28.47,,4.75,,20,
36,O-282EE5ED74A94E25AEE5ED74A9BE2590,22.11.2023 14:45:44,10,12,6.66,,7.99,,1.33,,20,
37,O-69848EEA3FF741F8848EEA3FF7E1F817,07.11.2023 13:11:40,11,20,3.33,30.33,37.35,0,0.67,3.03,20,10
38,O-A7500DB6C5BF45D5900DB6C5BF85D586,07.06.2023 09:07:41,12,3,,,136,136,,,,
39,O-ECE09E3D7CA84D2EA09E3D7CA88D2ED1,14.11.2023 17:55:07,13,5,0,0,3,3,0,0,20,10
40,O-F351E01BC3BE4EBD91E01BC3BEEEBD87,12.05.2023 09:02:14,14,19,,,33,33,,,,
41,O-9822FF6A91DE43B5A2FF6A91DE43B558,15.05.2023 12:08:16,12,7,,,52,52,,,,
45,O-3E31562316C24628B1562316C27628DB,30.11.2023 13:52:55,2,9,64.94,26.39,106.2,-0.75,12.99,2.64,20,10
46,O-3E31562316C24628B1562316C27628DB,30.11.2023 13:52:55,2,7,64.94,26.39,106.2,-0.75,12.99,2.64,20,10
47,V-7BC2C4E7697E41BB82C4E7697E71BBFA,01.06.2023 10:32:41,15,18,40.83,,49,,8.17,,20,
48,O-2D103E03A34D483E903E03A34D383E1F,05.12.2023 17:22:04,16,4,15.17,0,18.2,0,3.03,0,20,10
49,O-5BB0F11D00854210B0F11D0085821004,06.12.2023 14:47:22,3,14,30.69,14.68,52.98,0,6.14,1.47,20,10
50,O-01606E5446BB4240A06E5446BB324004,05.12.2023 09:52:08,17,18,11.37,0,13.65,0,2.28,0,20,10
51,O-C2AD08DEE9D34176AD08DEE9D30176F0,03.12.2023 16:43:54,18,9,50.57,0,60.69,0,10.12,0,20,10
52,O-C86D4C62986140FCAD4C62986110FCD6,05.12.2023 11:10:56,1,2,59.62,0,71.55,0,11.93,0,20,10
53,O-AE705050E9904663B05050E9900663F2,19.10.2023 10:05:22,19,20,6.69,43.46,55.84,,1.34,4.35,20,10
54,O-5C31A88B36F54748B1A88B36F5174830,13.10.2023 10:33:29,3,15,28.07,6.95,41.34,0,5.62,0.7,20,10
55,O-177B55C2D99742DFBB55C2D99742DFEA,02.10.2023 10:44:00,3,7,27.02,26.73,61.82,0,5.4,2.67,20,10
56,O-A417C4209A7742DF97C4209A7772DF37,19.10.2023 09:57:00,20,12,2.25,,2.7,,0.45,,20,
57,O-F1FA6B491B2940EABA6B491B29C0EA37,10.10.2023 10:11:32,21,8,0,17.27,19,0,0,1.73,20,10
58,O-FB98842A795742B998842A7957F2B9BA,04.06.2022 17:33:11,23,15,39,0,46.8,0,7.8,0,20,10
59,O-0411A10FB8EE4FCD91A10FB8EEAFCD8A,06.05.2022 18:21:47,24,3,69.39,,83.27,,13.88,,20,
60,O-86E97A1BDB2B489CA97A1BDB2BA89CBF,04.10.2023 10:11:22,25,14,0,4.73,5.2,0,0,0.47,20,10
61,O-97CEA78F06E640858EA78F06E6F0856B,04.10.2023 10:58:49,20,17,2.85,,3.42,,0.57,,20,
62,O-38DD9372660F4B2A9D9372660FAB2A10,05.10.2023 10:18:07,3,4,24.42,4.56,34.32,0,4.88,0.46,20,10
63,O-413852F2C4F048B2B852F2C4F088B2A2,27.09.2023 10:46:47,5,18,4.83,0,5.8,0,0.97,0,20,10
64,O-2BFD482CD1B74FCCBD482CD1B76FCC77,03.10.2023 16:10:28,10,8,9.98,,11.98,,2,,20,
65,O-6B6D396731804DF9AD39673180DDF91C,03.10.2023 11:02:07,25,4,0.75,17.09,19.7,0,0.15,1.71,20,10
66,O-5015070909CD481295070909CDC812A3,02.10.2023 10:15:03,26,2,7.82,31.25,43.75,,1.56,3.12,20,10
67,O-69AFE323A99C4E97AFE323A99C0E97A5,16.08.2022 15:49:59,27,6,,,18.9,,,,,
68,O-6260620466F846EDA0620466F876ED51,05.09.2022 15:52:48,28,10,24.96,0,29.95,0,4.99,0,20,10
69,O-FAF66397E1F94635B66397E1F95635C4,08.06.2022 10:57:01,24,4,39.15,,46.98,,7.83,,20,
70,O-137840E43D6E4F21B840E43D6EFF2181,03.06.2022 19:25:42,30,18,90.5,0,108.6,0,18.1,0,20,10
71,O-890F636F5564413C8F636F5564513C56,18.01.2022 16:12:53,28,12,49.09,0,58.91,0,9.82,0,20,10
72,O-A2909499CA0C42DD909499CA0C12DD01,24.03.2022 16:06:02,24,2,35.78,,42.94,,7.16,,20,
73,O-950685CDE6774A118685CDE6778A11DE,27.10.2023 09:33:46,31,10,19.21,0,23.05,0,3.84,0,20,10
74,O-DFAF5BB8A58D43E0AF5BB8A58DD3E003,17.10.2023 10:47:01,3,4,14.05,3.03,20.19,0,2.81,0.3,20,10
75,O-A898AB018145486E98AB018145186EDE,23.10.2023 14:02:20,3,14,11.41,11.81,26.68,0,2.28,1.18,20,10
76,O-B7387B90B62648CDB87B90B62618CD2D,27.09.2023 11:01:33,32,16,9.37,0,11.25,0,1.88,0,20,10
77,O-43EB46E4F7424375AB46E4F742E375BB,20.09.2023 11:05:04,3,15,19.82,17.76,43.32,0,3.96,1.78,20,10
78,O-F301C4E9E05D457C81C4E9E05D357C2D,26.09.2023 10:28:26,16,8,18.33,0,22,0,3.67,0,20,10
79,O-E4245A5177D242ACA45A5177D252ACB3,07.10.2023 10:39:14,33,14,63.33,0,75.99,0,12.66,0,20,10
80,O-53B57E578D6743DFB57E578D6753DFAA,18.11.2023 09:27:49,34,8,6.12,,7.35,,1.23,,20,
81,O-575F4B4308F649C49F4B4308F679C405,01.12.2023 11:07:00,3,16,31.32,25.5,65.63,0,6.26,2.55,20,10
82,O-A41A1B07EA554A769A1B07EA550A7639,29.11.2023 10:39:54,35,13,,9.35,10.29,,,0.94,,10
83,O-B06F8E1BC4E04E80AF8E1BC4E02E80BB,30.11.2023 18:50:47,36,18,0,6.36,7,0,0,0.64,20,10
84,O-D56648CB539C4608A648CB539CC6087B,25.11.2023 10:55:36,37,15,2.42,0,2.91,0,0.49,0,20,10
85,O-6FDAD08C29E14A019AD08C29E13A01AB,07.08.2023 10:55:41,3,13,25.71,13.25,45.42,0,5.14,1.32,20,10
86,O-E77512FB530A470AB512FB530AD70AEA,18.10.2023 10:35:32,20,9,2.08,1.09,3.7,,0.42,0.11,20,10
87,O-3C6E26D75BD74576AE26D75BD7957648,22.09.2023 16:08:40,37,15,9.16,0,10.24,-0.75,1.83,0,20,10
88,O-C0DC41848C6845D39C41848C68C5D333,30.08.2023 07:49:27,38,13,56.24,0,67.5,0,11.25,0,20,10
89,O-61BF68302B884DDFBF68302B881DDF1D,19.10.2023 10:04:13,39,1,5.82,3.45,10.78,,1.16,0.35,20,10
90,O-C863C98AE4664136A3C98AE4665136B6,21.11.2023 17:10:33,31,7,19.87,0,23.85,0,3.98,0,20,10
91,O-CA07397D3C85421987397D3C85A21993,28.11.2023 16:23:54,16,9,3.21,0,3.85,0,0.64,0,20,10
92,O-6DDA7AE2A3BB4C609A7AE2A3BB8C60C4,29.11.2023 10:32:39,40,1,13.26,0,15.91,0,2.65,0,20,10
93,O-70D21541E8864E46921541E8868E469C,24.11.2023 10:07:12,26,12,,6.63,7.29,,,0.66,,10
94,O-05E1ACC8BCA74345A1ACC8BCA7534520,19.09.2023 12:15:00,41,8,22.48,4.43,31.85,0,4.5,0.44,20,10
95,O-2E03672474A0445183672474A054511D,22.11.2023 11:26:57,5,11,2.3,0,2.76,0,0.46,0,20,10
96,O-2E983F04251D47EC983F04251D27ECD6,20.11.2023 11:01:52,42,19,2.33,0,2.8,0,0.47,0,20,10
97,O-C8B6E3693C7A4B13B6E3693C7A6B1331,27.11.2023 15:12:45,43,17,74.83,0,89.8,0,14.97,0,20,10
98,O-5D399702369E41BAB99702369E41BAFD,13.11.2023 10:34:28,5,8,10.62,0,12.74,0,2.12,0,20,10
99,O-F263DF26EFAE4CF7A3DF26EFAE5CF7D9,23.10.2023 10:04:12,16,3,6.25,0,7.5,0,1.25,0,20,10
100,O-EA4DACBE76C445358DACBE76C40535C1,18.11.2023 10:01:41,44,3,16.33,,19.6,,3.27,,20,
101,O-4509D8B70D0D4CF189D8B70D0D6CF1EA,13.11.2023 10:36:50,45,1,11.65,0,13.98,0,2.33,0,20,10
102,O-94202C643878407AA02C643878E07A55,24.11.2023 10:34:30,3,5,34.17,5.3,46.84,0,6.84,0.53,20,10
103,O-68D35F8C7F48496B935F8C7F48796BCB,22.11.2023 12:27:37,46,10,20.33,0,24.4,0,4.07,0,20,10
104,O-6D26301E8BEB4AD6A6301E8BEB5AD6E9,03.11.2023 17:16:18,47,7,85.42,0,102.5,0,17.08,0,20,10
105,O-EBB1A3F459744FD2B1A3F459745FD245,25.10.2023 10:22:59,48,9,9.58,0,11.5,0,1.92,0,20,10
106,O-53F9F248929145C5B9F248929115C532,31.08.2023 09:54:40,49,7,31.67,0,38,0,6.33,0,20,10
107,O-498627C96F3345DE8627C96F3345DE8C,20.11.2023 10:54:44,22,9,20.68,0,24.82,0,4.14,0,20,10
108,O-0B53DFD3CCF142A293DFD3CCF1C2A20A,16.11.2023 08:02:56,50,8,,,35,35,,,,
109,O-839FA7B8E18B45CE9FA7B8E18BB5CE9C,19.09.2023 12:24:42,51,12,2.32,0,2.78,0,0.46,0,20,10
110,O-2A9D704BFA8643819D704BFA86F381B5,27.09.2023 11:15:53,3,2,13.02,7.63,24.01,0,2.6,0.76,20,10
111,O-C84EC44389274F168EC44389278F16CB,03.09.2023 17:49:18,3,1,28.04,7,41.95,0.6,5.61,0.7,20,10
112,O-EE3AD8BEC02F43E0BAD8BEC02FE3E029,10.08.2023 10:46:59,3,16,16.42,3.41,23.46,0,3.29,0.34,20,10
113,O-D7EAA9DBE9AA4DD5AAA9DBE9AA5DD5A1,04.09.2023 12:05:00,40,5,29.5,0,35.4,0,5.9,0,20,10
114,O-C324735CC27C41E1A4735CC27CE1E126,02.09.2023 14:10:31,3,3,9.54,0,11.45,0,1.91,0,20,10
115,O-F7A1C8EFB19F4ED4A1C8EFB19FAED4BE,21.09.2023 09:46:41,21,12,0,20.45,22.5,0,0,2.05,20,10
116,O-F67CAED6B78E4307BCAED6B78EE307F4,11.09.2023 15:23:30,52,8,40,,48,,8,,20,
117,O-2FBD2560ECCB4898BD2560ECCBC8982F,24.08.2023 15:16:51,48,3,7.17,0,8.6,0,1.43,0,20,10
118,O-1183455B0A79470783455B0A79470706,24.08.2023 15:36:27,5,1,14.64,10.62,29.25,0,2.93,1.06,20,10
119,O-7352BDF5CF4E42FC92BDF5CF4E92FC29,24.08.2023 15:29:11,45,3,8.06,0,9.67,0,1.61,0,20,10
120,O-4B7FA1A4DDBC4EBCBFA1A4DDBC4EBCE3,10.10.2023 17:20:21,22,5,8.03,0.63,10.33,0,1.61,0.06,20,10
121,O-DE5A6ACE002E41CD9A6ACE002ED1CD1D,22.09.2023 11:01:02,3,15,15.57,2.71,22.57,0.9,3.12,0.27,20,10
122,O-541D4807E768494E9D4807E768894E3F,14.11.2023 10:08:48,48,14,11.92,0,14.3,0,2.38,0,20,10
123,O-6CDF6B7BECB84C119F6B7BECB8BC114C,26.09.2023 19:40:48,53,3,0,26.27,28.9,0,0,2.63,20,10
124,O-CDF6423AADB640EAB6423AADB690EA27,06.11.2023 10:11:51,3,1,15.58,12.62,32.58,0,3.12,1.26,20,10
125,O-AC02EE8491584CD282EE8491584CD294,14.11.2023 10:17:57,16,5,8.75,0,10.5,0,1.75,0,20,10
126,O-582E81CDDDBC4D46AE81CDDDBC2D469D,16.04.2023 13:28:36,16,14,7.04,0,8.45,0,1.41,0,20,10
127,O-DE61745AE6F94CB0A1745AE6F92CB009,02.11.2023 17:04:12,10,7,14.97,,17.97,,3,,20,
128,O-6A195405B9B6435A995405B9B6435A98,07.11.2023 11:26:50,54,9,7.46,,8.95,,1.49,,20,
129,O-67B246F4D6314CEEB246F4D6311CEEEC,19.11.2023 17:40:48,26,15,4.99,9.07,15.97,,1,0.91,20,10
130,O-013908B94C3F4D67B908B94C3F1D67C5,30.08.2023 09:09:59,49,15,31.67,0,38,0,6.33,0,20,10
131,O-E8010859FBB64A1E810859FBB6FA1E5B,20.11.2023 17:34:02,16,10,6.37,0,7.65,0,1.28,0,20,10
132,O-38FC15E594DE4829BC15E594DED82906,21.11.2023 11:18:01,3,13,19.55,13.39,38.19,0,3.91,1.34,20,10
